strain	clade
Netherlands/NA_235/2020	G
Netherlands/NA_244/2020	G
Netherlands/NA_274/2020	G
Netherlands/NA_291/2020	G
Netherlands/NA_271/2020	G
Netherlands/NA_243/2020	G
Netherlands/NA_255/2020	G
Netherlands/NA_300/2020	G
Netherlands/NA_266/2020	G
Netherlands/NA_268/2020	G
Netherlands/NA_301/2020	G
Netherlands/NA_52/2020	G
Netherlands/NA_267/2020	G
Netherlands/NA_258/2020	G
Netherlands/NA_254/2020	G
Netherlands/NA_264/2020	G
Netherlands/NA_311/2020	G
Netherlands/NA_239/2020	G
Netherlands/NA_288/2020	G
Netherlands/NA_317/2020	G
Netherlands/NA_285/2020	G
Netherlands/NA_302/2020	G
Netherlands/NA_275/2020	G
Netherlands/NA_293/2020	G
Netherlands/NA_263/2020	G
Netherlands/NA_248/2020	G
Netherlands/NA_261/2020	G
Netherlands/NA_296/2020	G
Netherlands/NA_307/2020	G
Netherlands/NA_316/2020	G
Netherlands/NA_257/2020	G
Netherlands/NA_262/2020	G
Netherlands/NA_246/2020	G
Netherlands/NA_260/2020	G
Netherlands/NA_283/2020	G
Netherlands/NA_306/2020	G
Netherlands/NA_308/2020	G
Netherlands/NA_290/2020	G
Netherlands/NA_314/2020	G
Netherlands/NA_292/2020	G
Netherlands/NA_61/2020	G
Netherlands/NA_289/2020	G
Netherlands/NA_303/2020	G
Netherlands/NA_241/2020	G
Netherlands/NA_87/2020	G
Netherlands/NA_256/2020	G
Netherlands/NA_237/2020	G
Netherlands/NA_54/2020	G
Netherlands/NA_56/2020	G
Netherlands/NA_53/2020	G
Netherlands/NA_265/2020	G
Netherlands/NA_272/2020	G
Netherlands/NA_284/2020	G
Netherlands/NA_36/2020	G
Netherlands/NA_37/2020	G
Netherlands/NA_38/2020	G
Netherlands/NA_49/2020	G
Netherlands/NA_51/2020	G
Netherlands/NA_62/2020	G
Netherlands/NA_64/2020	G
Netherlands/NA_78/2020	G
Netherlands/NA_277/2020	G
Netherlands/NA_251/2020	G
Netherlands/NA_282/2020	G
Netherlands/NA_250/2020	G
Netherlands/NA_309/2020	G
Netherlands/NA_279/2020	G
Netherlands/NA_286/2020	G
Netherlands/NA_312/2020	G
Netherlands/NA_89/2020	G
Netherlands/NA_259/2020	G
Netherlands/NA_299/2020	G
Netherlands/NA_25/2020	G
Netherlands/NA_7/2020	G
Netherlands/NA_26/2020	G
Netherlands/NA_8/2020	G
Netherlands/NA_24/2020	G
Netherlands/NA_30/2020	G
Netherlands/NA_28/2020	G
Netherlands/NA_31/2020	G
Netherlands/NA_236/2020	G
Netherlands/NA_253/2020	G
Netherlands/NA_315/2020	G
Netherlands/NA_238/2020	D
Netherlands/NA_294/2020	D
Netherlands/NA_295/2020	D
Netherlands/NA_298/2020	D
Netherlands/NA_46/2020	D
Netherlands/NA_43/2020	D
Netherlands/NA_69/2020	D
Netherlands/NA_47/2020	D
Netherlands/NA_48/2020	D
Netherlands/NA_55/2020	D
Netherlands/NA_57/2020	D
Netherlands/NA_60/2020	D
Netherlands/NA_72/2020	D
Netherlands/NA_73/2020	D
Netherlands/NA_74/2020	D
Netherlands/NA_85/2020	D
Netherlands/NA_79/2020	D
Netherlands/NA_276/2020	D
Netherlands/NA_297/2020	D
Netherlands/NA_318/2020	D
Netherlands/NA_65/2020	D
Netherlands/NA_242/2020	D
Netherlands/NA_247/2020	D
Netherlands/NA_269/2020	D
